dataset,model,strategy,accuracy,precision,recall,f1,auc,training_time_s,convergence_epoch_90pct,error
xor_1d,FullIsing,zeros,0.975,1.0,0.95,0.9743589743589743,0.995,98.65757709997706,43.0,
xor_1d,Net1L,zeros,1.0,1.0,1.0,1.0,1.0,414.8677010999527,24.0,
xor_1d,FullIsing,small_randn,0.975,1.0,0.95,0.9743589743589743,0.9974999999999999,95.90723759995308,46.0,
xor_1d,Net1L,small_randn,1.0,1.0,1.0,1.0,1.0,415.09615909995046,24.0,
xor_1d,FullIsing,medium_randn,0.85,0.85,0.85,0.85,0.9675,85.3604908999987,47.0,
xor_1d,Net1L,medium_randn,1.0,1.0,1.0,1.0,1.0,368.52332479995675,74.0,
xor_1d,FullIsing,large_randn,0.525,0.6,0.15,0.24,0.615,65.70259319996694,1.0,
xor_1d,Net1L,large_randn,0.75,0.6923076923076923,0.9,0.782608695652174,0.85,322.15369110001484,22.0,
xor_1d,FullIsing,theta_ratio,0.5,0.0,0.0,0.0,0.5425,59.78440360003151,1.0,
xor_1d,Net1L,theta_ratio,0.5,0.0,0.0,0.0,0.44,294.6679874000256,1.0,
