dataset,model,execution_time_s,accuracy,precision,recall,f1,auc
1D,Network_1L,136.4660,1.0000,1.0000,1.0000,1.0000,1.0000
2D,Network_1L,269.5075,0.8750,0.8750,0.8750,0.8750,0.9637
3D,Network_1L,537.3954,0.8688,0.8315,0.9250,0.8757,0.9483
4D,Network_1L,1073.9040,0.8969,0.8896,0.9062,0.8978,0.9735
5D,Network_1L,2135.7603,0.8469,0.9081,0.7719,0.8345,0.9289
6D,Network_1L,4242.5258,0.8414,0.8813,0.7891,0.8326,0.9332
