dataset,model,execution_time_s,accuracy,precision,recall,f1,auc
1D,Network_1L,364.8756,1.0000,1.0000,1.0000,1.0000,1.0000
2D,Network_1L,728.1466,0.9750,0.9524,1.0000,0.9756,1.0000
3D,Network_1L,1375.3076,0.9375,0.9375,0.9375,0.9375,0.9806
4D,Network_1L,2433.7516,0.9313,0.9367,0.9250,0.9308,0.9862
5D,Network_1L,4590.1549,0.8562,0.8455,0.8719,0.8585,0.9257
6D,Network_1L,9179.8444,0.8711,0.8350,0.9250,0.8777,0.9581
