dataset,model,num_nodi,size_annealer,size_label,accuracy,precision,recall,f1,auc,training_time_s,error
xor_2d,FullIsing,1,2,x1F,0.8375,0.9090909090909091,0.75,0.821917808219178,0.895625,40.12986440001987,
xor_2d,Net1L,1,2,x1F,0.8375,0.9090909090909091,0.75,0.821917808219178,0.88375,39.68250300001819,
xor_2d,Net1L,2,2,x1F,0.9875,1.0,0.975,0.9873417721518988,1.0,79.694131700031,
xor_2d,Net1L,3,2,x1F,0.9875,1.0,0.975,0.9873417721518988,0.999375,121.3167707999819,
xor_2d,Net1L,5,2,x1F,0.9875,1.0,0.975,0.9873417721518988,0.9881249999999999,203.6618644000264,
xor_2d,Net1L,8,2,x1F,0.9875,1.0,0.975,0.9873417721518988,1.0,321.19385129999137,
xor_2d,FullIsing,1,4,x2F,0.8375,0.9090909090909091,0.75,0.821917808219178,0.891875,40.906858499976806,
xor_2d,Net1L,1,4,x2F,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.92625,40.595410399953835,
xor_2d,Net1L,2,4,x2F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,82.43206949997693,
xor_2d,Net1L,3,4,x2F,0.9875,1.0,0.975,0.9873417721518988,1.0,126.79329410003265,
xor_2d,Net1L,5,4,x2F,1.0,1.0,1.0,1.0,1.0,212.9260501000099,
xor_2d,Net1L,8,4,x2F,1.0,1.0,1.0,1.0,1.0,338.9542454999755,
xor_2d,FullIsing,1,6,x3F,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.925625,46.36934169998858,
xor_2d,Net1L,1,6,x3F,0.8375,0.8292682926829268,0.85,0.8395061728395061,0.925625,46.295043600024655,
xor_2d,Net1L,2,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,89.61398229998304,
xor_2d,Net1L,3,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,132.14107020001393,
xor_2d,Net1L,5,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,181.31925930001307,
xor_2d,Net1L,8,6,x3F,0.9875,0.975609756097561,1.0,0.9876543209876543,1.0,289.16532440000447,
xor_2d,FullIsing,1,8,x4F,0.825,0.8095238095238095,0.85,0.8292682926829268,0.925625,38.77514170005452,
xor_2d,Net1L,1,8,x4F,0.825,0.8421052631578947,0.8,0.8205128205128205,0.8925000000000001,38.7794322000118,
xor_2d,Net1L,2,8,x4F,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,76.96240469999611,
xor_2d,Net1L,3,8,x4F,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,114.927123499976,
xor_2d,Net1L,5,8,x4F,0.975,0.975,0.975,0.975,0.999375,190.63072079996346,
xor_2d,Net1L,8,8,x4F,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,305.0554941999726,
xor_2d,FullIsing,1,10,10,0.825,0.8095238095238095,0.85,0.8292682926829268,0.92625,41.07339169998886,
xor_2d,Net1L,1,10,10,0.8375,0.9090909090909091,0.75,0.821917808219178,0.8912500000000001,40.91240410000319,
xor_2d,Net1L,2,10,10,0.975,0.975,0.975,0.975,0.99875,81.36785579996649,
xor_2d,Net1L,3,10,10,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,121.46392789995298,
xor_2d,Net1L,5,10,10,0.9875,0.975609756097561,1.0,0.9876543209876543,0.99875,202.65469280001707,
xor_2d,Net1L,8,10,10,0.975,0.975,0.975,0.975,0.999375,323.2765705999918,
xor_2d,FullIsing,1,20,20,0.8125,0.7659574468085106,0.9,0.8275862068965517,0.925,54.01347499998519,
xor_2d,Net1L,1,20,20,0.8125,0.7659574468085106,0.9,0.8275862068965517,0.925,53.87697510002181,
xor_2d,Net1L,2,20,20,0.975,1.0,0.95,0.9743589743589743,0.999375,108.35181459999876,
xor_2d,Net1L,3,20,20,0.9875,1.0,0.975,0.9873417721518988,0.9987499999999999,161.71128040004987,
xor_2d,Net1L,5,20,20,0.975,0.9523809523809523,1.0,0.975609756097561,0.9974999999999999,269.6832893000101,
xor_2d,Net1L,8,20,20,0.975,0.975,0.975,0.975,0.9981249999999999,430.041269999987,
xor_2d,FullIsing,1,30,30,0.7875,0.7090909090909091,0.975,0.8210526315789474,0.923125,72.56029599998146,
xor_2d,Net1L,1,30,30,0.85,0.8181818181818182,0.9,0.8571428571428571,0.9243750000000001,72.3380217999802,
xor_2d,Net1L,2,30,30,0.975,0.9523809523809523,1.0,0.975609756097561,0.9981249999999999,145.20974340004614,
xor_2d,Net1L,3,30,30,1.0,1.0,1.0,1.0,1.0,215.89587750000646,
xor_2d,Net1L,5,30,30,1.0,1.0,1.0,1.0,1.0,464.0803650999442,
xor_2d,Net1L,8,30,30,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,803.3818538999767,
xor_2d,FullIsing,1,50,50,0.65,0.6,0.9,0.72,0.84625,182.7738957000547,
xor_2d,Net1L,1,50,50,0.85,0.8181818181818182,0.9,0.8571428571428571,0.923125,165.43737850000616,
xor_2d,Net1L,2,50,50,0.9875,0.975609756097561,1.0,0.9876543209876543,0.999375,357.2299695999827,
xor_2d,Net1L,3,50,50,0.9875,1.0,0.975,0.9873417721518988,1.0,520.6890274999896,
xor_2d,Net1L,5,50,50,0.9875,1.0,0.975,0.9873417721518988,1.0,899.291982499999,
xor_2d,Net1L,8,50,50,0.9625,0.9302325581395349,1.0,0.963855421686747,1.0,1287.7888904999709,
