=== EXP3: Gamma Initialization Strategies ===

[EXP3] Dataset: xor_1d
[EXP3][xor_1d][Full][large_randn] epoch 020/200 | loss=0.6976 | acc=0.5000
[EXP3][xor_1d][Full][large_randn] epoch 040/200 | loss=0.7054 | acc=0.5000
[EXP3][xor_1d][Full][large_randn] epoch 060/200 | loss=0.7047 | acc=0.5000
[EXP3][xor_1d][Full][large_randn] epoch 080/200 | loss=0.7019 | acc=0.5000
[EXP3][xor_1d][Full][large_randn] epoch 100/200 | loss=0.6999 | acc=0.5000
[EXP3][xor_1d][Full][large_randn] epoch 120/200 | loss=0.6975 | acc=0.5000
[EXP3][xor_1d][Full][large_randn] epoch 140/200 | loss=0.6966 | acc=0.5000
[EXP3][xor_1d][Full][large_randn] epoch 160/200 | loss=0.6993 | acc=0.5000
[EXP3][xor_1d][Full][large_randn] epoch 180/200 | loss=0.6918 | acc=0.5000
[EXP3][xor_1d][Full][large_randn] epoch 200/200 | loss=0.6965 | acc=0.5250
[EXP3][xor_1d][Net1L][large_randn] epoch 001/200 | loss=12.6407 | acc=0.5000
[EXP3][xor_1d][Net1L][large_randn] epoch 020/200 | loss=0.6857 | acc=0.6500
[EXP3][xor_1d][Net1L][large_randn] epoch 040/200 | loss=0.6769 | acc=0.5500
[EXP3][xor_1d][Net1L][large_randn] epoch 060/200 | loss=0.6466 | acc=0.7000
[EXP3][xor_1d][Net1L][large_randn] epoch 080/200 | loss=0.6140 | acc=0.6250
[EXP3][xor_1d][Net1L][large_randn] epoch 100/200 | loss=0.5768 | acc=0.6750
[EXP3][xor_1d][Net1L][large_randn] epoch 120/200 | loss=0.6189 | acc=0.6250
[EXP3][xor_1d][Net1L][large_randn] epoch 140/200 | loss=0.5240 | acc=0.7000
[EXP3][xor_1d][Net1L][large_randn] epoch 160/200 | loss=0.4621 | acc=0.6500
[EXP3][xor_1d][Net1L][large_randn] epoch 180/200 | loss=0.4594 | acc=0.7750
[EXP3][xor_1d][Net1L][large_randn] epoch 200/200 | loss=0.4508 | acc=0.7500
[EXP3][xor_1d][Full][theta_ratio] epoch 001/200 | loss=67851454.4000 | acc=0.5000
[EXP3][xor_1d][Full][theta_ratio] epoch 020/200 | loss=252509.7687 | acc=0.5000
[EXP3][xor_1d][Full][theta_ratio] epoch 040/200 | loss=301597.7625 | acc=0.5000
[EXP3][xor_1d][Full][theta_ratio] epoch 060/200 | loss=1282887.2906 | acc=0.5000
[EXP3][xor_1d][Full][theta_ratio] epoch 080/200 | loss=224118.8141 | acc=0.5000
[EXP3][xor_1d][Full][theta_ratio] epoch 100/200 | loss=413539.8281 | acc=0.5000
[EXP3][xor_1d][Full][theta_ratio] epoch 120/200 | loss=180096.0227 | acc=0.5000
[EXP3][xor_1d][Full][theta_ratio] epoch 140/200 | loss=644403.1250 | acc=0.5000
[EXP3][xor_1d][Full][theta_ratio] epoch 160/200 | loss=692243.4125 | acc=0.5000
[EXP3][xor_1d][Full][theta_ratio] epoch 180/200 | loss=240754.9688 | acc=0.5000
[EXP3][xor_1d][Full][theta_ratio] epoch 200/200 | loss=166512.2848 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 001/200 | loss=80052185.6000 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 020/200 | loss=201912.5078 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 040/200 | loss=424650.1359 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 060/200 | loss=146089.4922 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 080/200 | loss=148577.3125 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 100/200 | loss=149882.4602 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 120/200 | loss=279636.2484 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 140/200 | loss=227537.5939 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 160/200 | loss=34289.0168 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 180/200 | loss=249811.5422 | acc=0.5000
[EXP3][xor_1d][Net1L][theta_ratio] epoch 200/200 | loss=26614.9660 | acc=0.5000

[EXP3] Dataset: xor_2d
[EXP3][xor_2d][Full][zeros] epoch 001/200 | loss=1.6879 | acc=0.5000
[EXP3][xor_2d][Full][zeros] epoch 020/200 | loss=0.5939 | acc=0.6500
[EXP3][xor_2d][Full][zeros] epoch 040/200 | loss=0.5336 | acc=0.6500
[EXP3][xor_2d][Full][zeros] epoch 060/200 | loss=0.5050 | acc=0.6500
[EXP3][xor_2d][Full][zeros] epoch 080/200 | loss=0.4962 | acc=0.6625
[EXP3][xor_2d][Full][zeros] epoch 100/200 | loss=0.4893 | acc=0.6500
[EXP3][xor_2d][Full][zeros] epoch 120/200 | loss=0.4772 | acc=0.6750
[EXP3][xor_2d][Full][zeros] epoch 140/200 | loss=0.4741 | acc=0.6750
[EXP3][xor_2d][Full][zeros] epoch 160/200 | loss=0.4726 | acc=0.6750
[EXP3][xor_2d][Full][zeros] epoch 180/200 | loss=0.4743 | acc=0.6625
[EXP3][xor_2d][Full][zeros] epoch 200/200 | loss=0.4717 | acc=0.6625
[EXP3][xor_2d][Net1L][zeros] epoch 001/200 | loss=2.0689 | acc=0.5000
[EXP3][xor_2d][Net1L][zeros] epoch 020/200 | loss=0.2498 | acc=0.8750
[EXP3][xor_2d][Net1L][zeros] epoch 040/200 | loss=0.2382 | acc=0.8750
[EXP3][xor_2d][Net1L][zeros] epoch 060/200 | loss=0.1876 | acc=0.9000
[EXP3][xor_2d][Net1L][zeros] epoch 080/200 | loss=0.1570 | acc=0.9375
[EXP3][xor_2d][Net1L][zeros] epoch 100/200 | loss=0.1275 | acc=0.9375
[EXP3][xor_2d][Net1L][zeros] epoch 120/200 | loss=0.1150 | acc=0.9750
[EXP3][xor_2d][Net1L][zeros] epoch 140/200 | loss=0.1146 | acc=0.9250
[EXP3][xor_2d][Net1L][zeros] epoch 160/200 | loss=0.0781 | acc=0.9875
[EXP3][xor_2d][Net1L][zeros] epoch 180/200 | loss=0.0681 | acc=1.0000
[EXP3][xor_2d][Net1L][zeros] epoch 200/200 | loss=0.0899 | acc=0.9750
[EXP3][xor_2d][Full][small_randn] epoch 001/200 | loss=1.6886 | acc=0.5000
[EXP3][xor_2d][Full][small_randn] epoch 020/200 | loss=0.5939 | acc=0.6500
[EXP3][xor_2d][Full][small_randn] epoch 040/200 | loss=0.5336 | acc=0.6500
[EXP3][xor_2d][Full][small_randn] epoch 060/200 | loss=0.5048 | acc=0.6500
[EXP3][xor_2d][Full][small_randn] epoch 080/200 | loss=0.4960 | acc=0.6625
[EXP3][xor_2d][Full][small_randn] epoch 100/200 | loss=0.4848 | acc=0.6625
[EXP3][xor_2d][Full][small_randn] epoch 120/200 | loss=0.4769 | acc=0.6750
[EXP3][xor_2d][Full][small_randn] epoch 140/200 | loss=0.4738 | acc=0.6750
[EXP3][xor_2d][Full][small_randn] epoch 160/200 | loss=0.4725 | acc=0.6750
[EXP3][xor_2d][Full][small_randn] epoch 180/200 | loss=0.4744 | acc=0.6625
[EXP3][xor_2d][Full][small_randn] epoch 200/200 | loss=0.4715 | acc=0.6625
[EXP3][xor_2d][Net1L][small_randn] epoch 001/200 | loss=2.0703 | acc=0.5000
[EXP3][xor_2d][Net1L][small_randn] epoch 020/200 | loss=0.2468 | acc=0.8750
[EXP3][xor_2d][Net1L][small_randn] epoch 040/200 | loss=0.2354 | acc=0.8750
[EXP3][xor_2d][Net1L][small_randn] epoch 060/200 | loss=0.1849 | acc=0.9250
[EXP3][xor_2d][Net1L][small_randn] epoch 080/200 | loss=0.1521 | acc=0.9500
[EXP3][xor_2d][Net1L][small_randn] epoch 100/200 | loss=0.1208 | acc=0.9500
[EXP3][xor_2d][Net1L][small_randn] epoch 120/200 | loss=0.1054 | acc=0.9750
[EXP3][xor_2d][Net1L][small_randn] epoch 140/200 | loss=0.1274 | acc=0.9375
[EXP3][xor_2d][Net1L][small_randn] epoch 160/200 | loss=0.0879 | acc=0.9875
