dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
00_iris_versicolor_virginica,FullIsingModule,0.7200,0.1364,0.7069,0.1182,0.7400,0.2417,0.7092,0.1679,0.7660,0.1401
00_iris_versicolor_virginica,ModularNetwork,0.9300,0.0400,0.9333,0.0816,0.9400,0.0800,0.9309,0.0394,0.9480,0.0462
01_vertebral_column,FullIsingModule,0.7300,0.0332,0.7060,0.0473,0.8000,0.0707,0.7471,0.0324,0.7945,0.0437
01_vertebral_column,ModularNetwork,0.7850,0.0122,0.7893,0.0510,0.7900,0.0663,0.7855,0.0124,0.8590,0.0428
02_banknote,FullIsingModule,0.6582,0.0297,0.6428,0.0608,0.5623,0.1712,0.5837,0.0689,0.7043,0.0337
02_banknote,ModularNetwork,0.9971,0.0036,0.9968,0.0065,0.9967,0.0066,0.9967,0.0040,1.0000,0.0000
03_breast_cancer,FullIsingModule,0.6274,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4797,0.0467
03_breast_cancer,ModularNetwork,0.8507,0.0306,0.8314,0.0715,0.7642,0.0800,0.7914,0.0427,0.9269,0.0263
04_contraceptive_method,FullIsingModule,0.7079,0.0377,0.6869,0.1150,0.3156,0.1065,0.4168,0.1228,0.7143,0.0387
04_contraceptive_method,ModularNetwork,0.7298,0.0204,0.6358,0.0420,0.5284,0.0613,0.5739,0.0340,0.7706,0.0180
05_haberman_Survival,FullIsingModule,0.7353,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4907,0.0596
05_haberman_Survival,ModularNetwork,0.6763,0.0417,0.3902,0.0779,0.3103,0.1073,0.3282,0.0616,0.6259,0.0571
06_heart_failure,FullIsingModule,0.6689,0.0262,0.0400,0.0800,0.0100,0.0200,0.0160,0.0320,0.4003,0.1034
06_heart_failure,ModularNetwork,0.6888,0.0699,0.5232,0.1146,0.4600,0.0958,0.4882,0.1005,0.6734,0.1100
07_Ionosphere,FullIsingModule,0.9002,0.0314,0.8943,0.0400,0.9600,0.0089,0.9255,0.0219,0.9589,0.0265
07_Ionosphere,ModularNetwork,0.9430,0.0157,0.9438,0.0101,0.9689,0.0227,0.9560,0.0124,0.9853,0.0101
08_SPECTF_Heart,FullIsingModule,0.7940,0.0019,0.7940,0.0019,1.0000,0.0000,0.8852,0.0012,0.7204,0.0250
08_SPECTF_Heart,ModularNetwork,0.8241,0.0244,0.8641,0.0211,0.9246,0.0175,0.8931,0.0140,0.8146,0.0327
