dataset,model,fold,accuracy,precision,recall,f1,auc
02_banknote,ModularNetwork,3,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,4,0.7080,0.7500,0.5164,0.6117,0.6901
02_banknote,ModularNetwork,4,1.0000,1.0000,1.0000,1.0000,1.0000
02_banknote,FullIsingModule,5,0.6168,0.5895,0.4590,0.5161,0.7138
02_banknote,ModularNetwork,5,1.0000,1.0000,1.0000,1.0000,1.0000
03_breast_cancer,FullIsingModule,1,0.6316,0.0000,0.0000,0.0000,0.4550
03_breast_cancer,ModularNetwork,1,0.8158,0.7692,0.7143,0.7407,0.9120
03_breast_cancer,FullIsingModule,2,0.6316,0.0000,0.0000,0.0000,0.4881
03_breast_cancer,ModularNetwork,2,0.8509,0.8571,0.7143,0.7792,0.9279
03_breast_cancer,FullIsingModule,3,0.6228,0.0000,0.0000,0.0000,0.5604
03_breast_cancer,ModularNetwork,3,0.8246,0.7347,0.8372,0.7826,0.8906
03_breast_cancer,FullIsingModule,4,0.6228,0.0000,0.0000,0.0000,0.4763
03_breast_cancer,ModularNetwork,4,0.8596,0.9355,0.6744,0.7838,0.9338
03_breast_cancer,FullIsingModule,5,0.6283,0.0000,0.0000,0.0000,0.4188
03_breast_cancer,ModularNetwork,5,0.9027,0.8605,0.8810,0.8706,0.9702
04_contraceptive_method,FullIsingModule,1,0.6736,0.7000,0.1045,0.1818,0.6907
04_contraceptive_method,ModularNetwork,1,0.7254,0.6400,0.4776,0.5470,0.7736
04_contraceptive_method,FullIsingModule,2,0.7098,0.6341,0.3881,0.4815,0.7255
04_contraceptive_method,ModularNetwork,2,0.7047,0.5676,0.6269,0.5957,0.7578
04_contraceptive_method,FullIsingModule,3,0.6615,0.5111,0.3485,0.4144,0.6727
04_contraceptive_method,ModularNetwork,3,0.7656,0.6981,0.5606,0.6218,0.7957
04_contraceptive_method,FullIsingModule,4,0.7656,0.8621,0.3788,0.5263,0.7839
04_contraceptive_method,ModularNetwork,4,0.7188,0.6250,0.4545,0.5263,0.7816
04_contraceptive_method,FullIsingModule,5,0.7292,0.7273,0.3582,0.4800,0.6989
04_contraceptive_method,ModularNetwork,5,0.7344,0.6481,0.5224,0.5785,0.7442
05_haberman_Survival,FullIsingModule,1,0.7258,0.0000,0.0000,0.0000,0.4366
05_haberman_Survival,ModularNetwork,1,0.7258,0.5000,0.1765,0.2609,0.6810
05_haberman_Survival,FullIsingModule,2,0.7377,0.0000,0.0000,0.0000,0.4556
05_haberman_Survival,ModularNetwork,2,0.6393,0.3125,0.3125,0.3125,0.6125
05_haberman_Survival,FullIsingModule,3,0.7377,0.0000,0.0000,0.0000,0.4722
05_haberman_Survival,ModularNetwork,3,0.7213,0.4444,0.2500,0.3200,0.7028
05_haberman_Survival,FullIsingModule,4,0.7377,0.0000,0.0000,0.0000,0.4833
05_haberman_Survival,ModularNetwork,4,0.6230,0.2941,0.3125,0.3030,0.5750
05_haberman_Survival,FullIsingModule,5,0.7377,0.0000,0.0000,0.0000,0.6056
05_haberman_Survival,ModularNetwork,5,0.6721,0.4000,0.5000,0.4444,0.5583
06_heart_failure,FullIsingModule,1,0.6833,0.0000,0.0000,0.0000,0.4827
06_heart_failure,ModularNetwork,1,0.7500,0.6429,0.4737,0.5455,0.7330
06_heart_failure,FullIsingModule,2,0.6833,0.0000,0.0000,0.0000,0.5289
06_heart_failure,ModularNetwork,2,0.7500,0.6111,0.5789,0.5946,0.8036
06_heart_failure,FullIsingModule,3,0.6833,0.0000,0.0000,0.0000,0.4146
06_heart_failure,ModularNetwork,3,0.7333,0.5882,0.5263,0.5556,0.6829
06_heart_failure,FullIsingModule,4,0.6167,0.2000,0.0500,0.0800,0.2400
06_heart_failure,ModularNetwork,4,0.5833,0.3529,0.3000,0.3243,0.4738
06_heart_failure,FullIsingModule,5,0.6780,0.0000,0.0000,0.0000,0.3355
06_heart_failure,ModularNetwork,5,0.6271,0.4211,0.4211,0.4211,0.6737
07_Ionosphere,FullIsingModule,1,0.9155,0.8980,0.9778,0.9362,0.9761
07_Ionosphere,ModularNetwork,1,0.9437,0.9362,0.9778,0.9565,0.9923
07_Ionosphere,FullIsingModule,2,0.8714,0.8600,0.9556,0.9053,0.9458
07_Ionosphere,ModularNetwork,2,0.9571,0.9375,1.0000,0.9677,0.9822
07_Ionosphere,FullIsingModule,3,0.9143,0.9149,0.9556,0.9348,0.9751
07_Ionosphere,ModularNetwork,3,0.9571,0.9565,0.9778,0.9670,0.9956
07_Ionosphere,FullIsingModule,4,0.9429,0.9556,0.9556,0.9556,0.9849
07_Ionosphere,ModularNetwork,4,0.9429,0.9556,0.9556,0.9556,0.9893
07_Ionosphere,FullIsingModule,5,0.8571,0.8431,0.9556,0.8958,0.9129
07_Ionosphere,ModularNetwork,5,0.9143,0.9333,0.9333,0.9333,0.9671
08_SPECTF_Heart,FullIsingModule,1,0.7963,0.7963,1.0000,0.8866,0.7252
08_SPECTF_Heart,ModularNetwork,1,0.7963,0.8333,0.9302,0.8791,0.8140
08_SPECTF_Heart,FullIsingModule,2,0.7963,0.7963,1.0000,0.8866,0.7082
08_SPECTF_Heart,ModularNetwork,2,0.8148,0.8667,0.9070,0.8864,0.7548
08_SPECTF_Heart,FullIsingModule,3,0.7925,0.7925,1.0000,0.8842,0.7576
08_SPECTF_Heart,ModularNetwork,3,0.8679,0.8889,0.9524,0.9195,0.8203
08_SPECTF_Heart,FullIsingModule,4,0.7925,0.7925,1.0000,0.8842,0.6818
08_SPECTF_Heart,ModularNetwork,4,0.8302,0.8837,0.9048,0.8941,0.8528
08_SPECTF_Heart,FullIsingModule,5,0.7925,0.7925,1.0000,0.8842,0.7294
08_SPECTF_Heart,ModularNetwork,5,0.8113,0.8478,0.9286,0.8864,0.8312
