dataset,model,fold,accuracy,precision,recall,f1,auc
00_iris_versicolor_virginica,FullIsingModule,1,0.7000,0.6429,0.9000,0.7500,0.8100
00_iris_versicolor_virginica,ModularNetwork,1,1.0000,1.0000,1.0000,1.0000,1.0000
00_iris_versicolor_virginica,FullIsingModule,2,0.8500,0.7692,1.0000,0.8696,0.9300
00_iris_versicolor_virginica,ModularNetwork,2,0.9500,1.0000,0.9000,0.9474,1.0000
00_iris_versicolor_virginica,FullIsingModule,3,0.9000,0.9000,0.9000,0.9000,0.8700
00_iris_versicolor_virginica,ModularNetwork,3,0.9000,0.8333,1.0000,0.9091,0.8800
00_iris_versicolor_virginica,FullIsingModule,4,0.6000,0.6667,0.4000,0.5000,0.5400
00_iris_versicolor_virginica,ModularNetwork,4,0.9000,1.0000,0.8000,0.8889,0.9300
00_iris_versicolor_virginica,FullIsingModule,5,0.5500,0.5556,0.5000,0.5263,0.6800
00_iris_versicolor_virginica,ModularNetwork,5,0.9000,0.8333,1.0000,0.9091,0.9300
01_vertebral_column,FullIsingModule,1,0.7750,0.7895,0.7500,0.7692,0.8800
01_vertebral_column,ModularNetwork,1,0.7750,0.7200,0.9000,0.8000,0.7800
01_vertebral_column,FullIsingModule,2,0.6750,0.6667,0.7000,0.6829,0.7725
01_vertebral_column,ModularNetwork,2,0.8000,0.8000,0.8000,0.8000,0.8725
01_vertebral_column,FullIsingModule,3,0.7250,0.6667,0.9000,0.7660,0.7850
01_vertebral_column,ModularNetwork,3,0.7750,0.7619,0.8000,0.7805,0.8875
01_vertebral_column,FullIsingModule,4,0.7500,0.7273,0.8000,0.7619,0.7775
01_vertebral_column,ModularNetwork,4,0.7750,0.7895,0.7500,0.7692,0.9025
01_vertebral_column,FullIsingModule,5,0.7250,0.6800,0.8500,0.7556,0.7575
01_vertebral_column,ModularNetwork,5,0.8000,0.8750,0.7000,0.7778,0.8525
02_banknote,FullIsingModule,1,0.6545,0.6484,0.4836,0.5540,0.6520
02_banknote,ModularNetwork,1,0.9927,1.0000,0.9836,0.9917,0.9999
02_banknote,FullIsingModule,2,0.6655,0.5789,0.9016,0.7051,0.7556
02_banknote,ModularNetwork,2,0.9927,0.9839,1.0000,0.9919,1.0000
02_banknote,FullIsingModule,3,0.6460,0.6471,0.4508,0.5314,0.7103
