
[RUN 20260518_104348]
Device: cuda | Batch: 32 | Epochs: 200 | K-Folds: 5
Model: size=50, perceptrons=5, partition=False, workers=16
LR: gamma=0.0010, lambda=0.0050, offset=0.0100, combiner=0.0050
SA: beta=[1, 10], reads=1, sweeps=1000
Init: lambda=1.0000, offset=1.0000

Datasets directory: /root/global/QuantumAnnealerModule/Inference/Datasets/Datasets_unbalanced

[Dataset 1/9: 00_iris_versicolor_virginica]
Loading dataset from: /root/global/QuantumAnnealerModule/Inference/Datasets/Datasets_unbalanced/00_iris_versicolor_virginica.csv
Dataset num features: X=(100, 4),
Class distribution: [50 50]
Running 5-Fold Cross Validation
Fold 1/5
  Training FullIsingModule...
Using model size: 50
  Epoch 10/200 | Loss: 0.6235
  Epoch 15/200 | Loss: 0.5587
  Epoch 20/200 | Loss: 0.4908
  Epoch 25/200 | Loss: 0.4410
  Epoch 30/200 | Loss: 0.3865
  Epoch 35/200 | Loss: 0.3670
  Epoch 40/200 | Loss: 0.3268
  Epoch 45/200 | Loss: 0.3021
  Epoch 50/200 | Loss: 0.2647
  Epoch 55/200 | Loss: 0.2340
  Epoch 60/200 | Loss: 0.2255
  Epoch 65/200 | Loss: 0.1899
  Epoch 70/200 | Loss: 0.1851
  Epoch 75/200 | Loss: 0.1992
  Epoch 80/200 | Loss: 0.1731
  Epoch 85/200 | Loss: 0.1526
  Epoch 90/200 | Loss: 0.1419
  Epoch 95/200 | Loss: 0.1357
  Epoch 100/200 | Loss: 0.1236
  Epoch 105/200 | Loss: 0.1213
  Epoch 110/200 | Loss: 0.1263
  Epoch 115/200 | Loss: 0.0985
  Epoch 120/200 | Loss: 0.0943
  Epoch 125/200 | Loss: 0.0873
  Epoch 130/200 | Loss: 0.0886
  Epoch 135/200 | Loss: 0.0798
  Epoch 140/200 | Loss: 0.0767
  Epoch 145/200 | Loss: 0.0726
  Epoch 150/200 | Loss: 0.0705
  Epoch 155/200 | Loss: 0.0729
  Epoch 160/200 | Loss: 0.0700
  Epoch 165/200 | Loss: 0.0640
  Epoch 170/200 | Loss: 0.0556
  Epoch 175/200 | Loss: 0.0618
  Epoch 180/200 | Loss: 0.0563
  Epoch 185/200 | Loss: 0.0504
  Epoch 190/200 | Loss: 0.0458
  Epoch 195/200 | Loss: 0.0469
  Epoch 200/200 | Loss: 0.0406
  Modular | acc=0.9500 prec=1.0000 rec=0.9000 f1=0.9474 auc=1.0000
Fold 3/5
  Training FullIsingModule...
Using model size: 50
  Epoch 1/200 | Loss: 19.0752
  Epoch 5/200 | Loss: 14.3916
  Epoch 10/200 | Loss: 11.1906
  Epoch 15/200 | Loss: 9.2390
  Epoch 20/200 | Loss: 7.9217
  Epoch 25/200 | Loss: 6.7516
  Epoch 30/200 | Loss: 5.5986
  Epoch 35/200 | Loss: 4.2054
  Epoch 40/200 | Loss: 3.9244
  Epoch 45/200 | Loss: 2.8485
  Epoch 50/200 | Loss: 2.3595
  Epoch 55/200 | Loss: 1.8101
  Epoch 60/200 | Loss: 1.6543
  Epoch 65/200 | Loss: 1.1456
  Epoch 70/200 | Loss: 0.9993
  Epoch 75/200 | Loss: 0.8450
  Epoch 80/200 | Loss: 0.7586
  Epoch 85/200 | Loss: 0.6981
  Epoch 90/200 | Loss: 0.6868
  Epoch 95/200 | Loss: 0.6764
  Epoch 100/200 | Loss: 0.6522
  Epoch 105/200 | Loss: 0.5985
  Epoch 110/200 | Loss: 0.6131
  Epoch 115/200 | Loss: 0.6339
  Epoch 120/200 | Loss: 0.6341
  Epoch 125/200 | Loss: 0.6269
  Epoch 130/200 | Loss: 0.6103
  Epoch 135/200 | Loss: 0.6014
  Epoch 140/200 | Loss: 0.5943
  Epoch 145/200 | Loss: 0.6065
  Epoch 150/200 | Loss: 0.6052
  Epoch 155/200 | Loss: 0.5923
  Epoch 160/200 | Loss: 0.5850
  Epoch 165/200 | Loss: 0.6049
  Epoch 170/200 | Loss: 0.5980
  Epoch 175/200 | Loss: 0.5956
  Epoch 180/200 | Loss: 0.5941
  Epoch 185/200 | Loss: 0.5689
  Epoch 190/200 | Loss: 0.5841
