xor_dim,node_size,node_size_label,accuracy,f1,auc_roc,best_val_acc,final_loss,min_loss,training_time_s,n_params,error
1,1,x1F,0.5,0.0,0.59,0.625,0.6933302640914917,0.6931462287902832,27.241237780021038,3,
1,2,x2F,0.375,0.4186046511627907,0.4325,0.55,0.6929304122924804,0.6927729606628418,26.672231180011295,6,
1,3,x3F,0.425,0.43902439024390244,0.44,0.625,0.6923898339271546,0.6921023488044739,27.359623494034167,11,
1,4,x4F,0.4,0.42857142857142855,0.46249999999999997,0.625,0.6908713698387146,0.6907928586006165,28.055167004989926,18,
1,10,10,0.45,0.45,0.5625,0.575,0.6560703873634338,0.6537860989570617,56.33258789399406,102,
1,20,20,0.625,0.6153846153846154,0.71,0.65,0.4978446900844574,0.49695736169815063,43.14853707305156,402,
1,30,30,0.8,0.8,0.9,0.825,0.31790632009506226,0.316003692150116,96.69931159797125,902,
1,40,40,0.9,0.9047619047619048,0.9875,0.9,0.1818372130393982,0.1818372130393982,80.61187320103636,1602,
1,50,50,0.925,0.9302325581395349,0.995,0.975,0.13578842133283614,0.13553314954042434,188.77868006500648,2502,
2,2,x1F,0.8375,0.821917808219178,0.894375,0.8375,0.3823182642459869,0.37871526181697845,130.96875046700006,6,
2,4,x2F,0.8375,0.821917808219178,0.8925000000000001,0.85,0.36125847399234773,0.36125847399234773,122.21106237999629,18,
2,6,x3F,0.85,0.8421052631578947,0.89375,0.85,0.35966894030570984,0.35966894030570984,90.41731534397695,38,
2,8,x4F,0.825,0.8205128205128205,0.8931250000000001,0.825,0.35960016697645186,0.35934478640556333,74.8405550569878,66,
2,10,10,0.825,0.825,0.8912500000000001,0.85,0.3615019336342812,0.36111597120761874,87.71651691704756,102,
2,20,20,0.7875,0.7901234567901234,0.871875,0.8,0.38196506500244143,0.380070161819458,100.94588934700005,402,
2,30,30,0.75,0.7560975609756098,0.849375,0.7625,0.409468212723732,0.4094099342823029,132.233341691026,902,
2,40,40,0.6875,0.7126436781609196,0.8193750000000001,0.7125,0.4447429269552231,0.44196497797966006,162.75264200998936,1602,
2,50,50,0.6625,0.6746987951807228,0.7943749999999999,0.7,0.47739335894584656,0.4682743430137634,180.88578808499733,2502,
3,3,x1F,0.5,0.0,0.44953125,0.5375,0.69459847509861,0.6930403798818588,108.77679067500867,11,
3,6,x2F,0.5,0.5238095238095238,0.516875,0.5375,0.6931380569934845,0.692498192191124,116.98107542499201,38,
3,9,x3F,0.4875,0.49382716049382713,0.51734375,0.55,0.6925088584423065,0.6914451777935028,125.50961200596066,83,
3,12,x4F,0.4875,0.4383561643835616,0.52671875,0.54375,0.6928019106388092,0.6912611424922943,136.682125161984,146,
3,10,10,0.475,0.4939759036144578,0.46265625,0.525,0.6928868949413299,0.6913594394922257,129.21623087499756,102,
3,20,20,0.525,0.4794520547945205,0.5875,0.55625,0.6825653314590454,0.6811576902866363,169.12308961100644,402,
3,30,30,0.6,0.6097560975609756,0.6381249999999999,0.60625,0.6716978460550308,0.6703275918960572,222.54595505201723,902,
3,40,40,0.59375,0.6242774566473989,0.6495312499999999,0.61875,0.6706963211297989,0.6670323938131333,291.48152888397453,1602,
3,50,50,0.60625,0.6227544910179641,0.6456250000000001,0.6125,0.6698456108570099,0.6637985914945602,375.64380842103856,2502,
4,4,x1F,0.609375,0.6268656716417911,0.6193359375,0.640625,0.6786072224378585,0.6772835329174995,219.2310117210145,18,
4,8,x2F,0.68125,0.6730769230769231,0.6887500000000001,0.6875,0.6471948266029358,0.6432933807373047,241.7039576699608,66,
4,12,x3F,0.6875,0.691358024691358,0.7211328124999999,0.690625,0.6313379228115081,0.6297033250331878,266.8660418719519,146,
4,16,x4F,0.640625,0.6229508196721312,0.6778125,0.653125,0.6340249150991439,0.6337453052401543,296.33709504897706,258,
4,10,10,0.64375,0.6274509803921569,0.6877734375000001,0.65625,0.6425592795014381,0.6415554195642471,255.25213629199425,102,
4,20,20,0.61875,0.6772486772486772,0.6915234374999999,0.671875,0.6361951157450676,0.6357468083500862,329.1034913379699,402,
4,30,30,0.63125,0.6335403726708074,0.6942578125,0.659375,0.639794009923935,0.632702186703682,429.2246178559726,902,
4,40,40,0.64375,0.6274509803921569,0.6934375000000002,0.659375,0.6357136189937591,0.6340821221470833,559.3705013219733,1602,
4,50,50,0.65,0.6291390728476821,0.6784375,0.678125,0.6420587867498397,0.639957370609045,715.3447745289886,2502,
5,5,x1F,0.465625,0.38489208633093525,0.462333984375,0.5015625,0.6915862806141376,0.6904948644340039,458.53965530503774,27,
5,10,x2F,0.4859375,0.6002430133657352,0.46195312499999996,0.4984375,0.6914657264947891,0.6899756975471973,554.5505752540193,102,
5,15,x3F,0.4734375,0.28752642706131076,0.46060546875,0.5,0.6914623782038689,0.6895546659827232,603.2601569819963,227,
5,20,x4F,0.496875,0.582901554404145,0.469736328125,0.5,0.6914014756679535,0.6889662995934487,688.2579245570232,402,
5,10,10,0.4859375,0.6002430133657352,0.46195312499999996,0.4984375,0.6914657264947891,0.6899756975471973,529.339076876,102,
5,20,20,0.496875,0.582901554404145,0.469736328125,0.5,0.6914014756679535,0.6889662995934487,654.2582463480067,402,
5,30,30,0.5046875,0.4030131826741996,0.48551757812499996,0.50625,0.688773437589407,0.6880101956427097,865.3322926639812,902,
5,40,40,0.4984375,0.06956521739130435,0.5004101562500001,0.5203125,0.686614279448986,0.6842540338635444,1136.3801784810494,1602,
5,50,50,0.5171875,0.596078431372549,0.541357421875,0.5421875,0.6810546815395355,0.6758977852761745,1431.2580442270264,2502,
6,6,x1F,0.5125,0.4,0.5100378417968751,0.5234375,0.6926771536469459,0.6913801986724138,907.5374150819844,38,
6,12,x2F,0.5515625,0.6357868020304569,0.57935546875,0.5625,0.6862799752503633,0.6861293610185385,1153.6471546709654,146,
6,18,x3F,0.528125,0.6391875746714456,0.55966552734375,0.55390625,0.6882600158452987,0.6868714071810246,1234.265155250032,326,
6,24,x4F,0.54296875,0.6359676415681393,0.5795056152343749,0.57578125,0.6823687478899956,0.6808869820088148,1486.456219501968,578,
6,10,10,0.50390625,0.3120260021668472,0.509552001953125,0.515625,0.6911057319492102,0.6905401591211557,1018.8104435859714,102,
6,20,20,0.54375,0.6345431789737171,0.5901171875,0.571875,0.6865703012794256,0.6825557634234428,1291.1702024569968,402,
6,30,30,0.5,0.0,0.5055688476562501,0.521875,0.6933830201625824,0.6933830201625824,1825.2614098860067,902,
6,40,40,0.5,0.6666666666666666,0.49015869140625,0.5015625,0.6948010239750146,0.6936023153364659,2518.6443342220155,1602,
6,50,50,0.5,0.0,0.497591552734375,0.52578125,0.6945395611226559,0.6933271646499634,3266.5915575720137,2502,
