dataset,variant,final_accuracy,final_precision,final_recall,final_f1,final_auc,phase1_accuracy,phase1_precision,phase1_recall,phase1_f1,phase1_auc,training_time_s
xor_1d,staged_FullIsing,0.85,0.8181818181818182,0.9,0.8571428571428571,0.9475,0.5,0.5,1.0,0.6666666666666666,0.8799999999999999,120.53966960002435
xor_1d,baseline_FullIsing,0.925,0.8695652173913043,1.0,0.9302325581395349,0.9924999999999999,0.825,0.8421052631578947,0.8,0.8205128205128205,0.9574999999999999,117.54726040002424
xor_1d,staged_Net1L,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.6666666666666666,0.8450000000000001,555.5138488999801
xor_1d,baseline_Net1L,1.0,1.0,1.0,1.0,1.0,0.975,0.9523809523809523,1.0,0.975609756097561,1.0,530.2375280000269
xor_2d,staged_FullIsing,0.7875,0.7804878048780488,0.8,0.7901234567901234,0.8531249999999999,0.5,0.5,1.0,0.6666666666666666,0.70875,230.44478430005256
xor_2d,baseline_FullIsing,0.6625,0.6511627906976745,0.7,0.6746987951807228,0.786875,0.7,0.7,0.7,0.7,0.7818749999999999,193.02557989995694
xor_2d,staged_Net1L,0.95,0.9090909090909091,1.0,0.9523809523809523,0.9981249999999999,0.5,0.5,1.0,0.6666666666666666,0.6618750000000001,1091.3599672000273
xor_2d,baseline_Net1L,0.975,1.0,0.95,0.9743589743589743,1.0,0.9375,0.9069767441860465,0.975,0.9397590361445783,0.993125,990.1596605000086
xor_3d,staged_FullIsing,0.6125,0.59375,0.7125,0.6477272727272727,0.6528124999999999,0.5,0.5,1.0,0.6666666666666666,0.5393749999999999,465.3605270999833
xor_3d,baseline_FullIsing,0.6125,0.6097560975609756,0.625,0.6172839506172839,0.66390625,0.56875,0.6571428571428571,0.2875,0.4,0.63453125,406.959010999999
xor_3d,staged_Net1L,0.79375,0.9795918367346939,0.6,0.7441860465116279,0.97171875,0.5,0.5,1.0,0.6666666666666666,0.5384375,2271.590858199983
xor_3d,baseline_Net1L,0.8875,0.9558823529411765,0.8125,0.8783783783783784,0.973125,0.86875,0.8734177215189873,0.8625,0.8679245283018868,0.92578125,1950.192441399966
