dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
00_iris_versicolor_virginica,FullIsingModule,0.7300,0.1122,0.7405,0.0994,0.7000,0.2000,0.7097,0.1413,0.7680,0.1413
00_iris_versicolor_virginica,ModularNetwork,0.8800,0.0678,0.8914,0.0989,0.8800,0.0748,0.8813,0.0636,0.9360,0.0531
01_vertebral_column,FullIsingModule,0.7250,0.0570,0.7078,0.0699,0.7800,0.1030,0.7377,0.0622,0.7940,0.0453
01_vertebral_column,ModularNetwork,0.7900,0.0700,0.7959,0.0531,0.7800,0.1470,0.7820,0.0848,0.8725,0.0453
02_banknote,FullIsingModule,0.7598,0.0819,0.8104,0.1054,0.7148,0.1650,0.7415,0.1052,0.8539,0.0356
02_banknote,ModularNetwork,0.9984,0.0020,0.9984,0.0033,0.9984,0.0033,0.9984,0.0020,0.9999,0.0001
03_breast_cancer,FullIsingModule,0.5921,0.0550,0.5893,0.0541,0.6135,0.1216,0.5963,0.0697,0.5998,0.0749
03_breast_cancer,ModularNetwork,0.8231,0.0233,0.8266,0.0338,0.8208,0.0459,0.8225,0.0241,0.8966,0.0168
04_contraceptive_method,FullIsingModule,0.6501,0.0648,0.6487,0.0678,0.6542,0.0842,0.6503,0.0706,0.7204,0.0511
04_contraceptive_method,ModularNetwork,0.6907,0.0235,0.7093,0.0325,0.6486,0.0300,0.6770,0.0241,0.7557,0.0209
05_haberman_Survival,FullIsingModule,0.4930,0.0695,0.5243,0.1012,0.5713,0.1708,0.5182,0.0729,0.4851,0.0674
05_haberman_Survival,ModularNetwork,0.4941,0.0374,0.5292,0.1115,0.3412,0.2026,0.3711,0.1235,0.5093,0.0403
06_heart_failure,FullIsingModule,0.4532,0.0395,0.4519,0.0464,0.4884,0.1209,0.4644,0.0808,0.4282,0.0326
06_heart_failure,ModularNetwork,0.6462,0.0653,0.6582,0.0810,0.6258,0.0638,0.6395,0.0592,0.7009,0.0832
07_Ionosphere,FullIsingModule,0.5796,0.0352,0.6031,0.0539,0.5388,0.1421,0.5534,0.0572,0.6242,0.0547
07_Ionosphere,ModularNetwork,0.9322,0.0517,0.9562,0.0303,0.9043,0.0826,0.9285,0.0568,0.9809,0.0130
08_SPECTF_Heart,FullIsingModule,0.3875,0.0612,0.4107,0.0558,0.5750,0.1696,0.4747,0.0960,0.2031,0.0140
08_SPECTF_Heart,ModularNetwork,0.6250,0.0685,0.6037,0.0565,0.7000,0.2318,0.6331,0.1217,0.7312,0.1360
