num_nodi,x1F,x2F,x3F,x4F,10,20,30,40,50
2,1.183653432992287,1.188882109010592,1.2121220999397337,1.2428354180883616,1.2995896260254085,1.602021871949546,2.013844629051164,2.7205871399492025,3.2851922640111297
3,1.7408878050046042,1.7725705900229514,1.8893649199744686,1.8784762849099934,1.9315602359129116,2.398471800959669,3.01729190396145,3.981920578982681,4.96095789805986
5,2.939652453060262,2.932450935943052,3.018993195029907,3.1775494599714875,3.2282370240427554,3.9282868179725483,5.06775376398582,6.458190893987194,8.25479037500918
8,4.553232411039062,4.7377596059814095,4.71733597794082,4.978003551019356,5.020634963060729,6.377357312012464,8.161268981988542,10.405688315047882,13.175610077916645
10,5.773346384987235,5.788995705079287,5.998215176980011,6.118913581944071,6.428767989040352,7.947400235920213,9.988045812002383,12.862193815992214,16.44242714496795
15,8.605612399056554,8.755921715055592,9.003553106915206,9.374260632088408,9.61375437991228,11.797347377985716,14.954520380008034,19.31312590604648,24.766661362024024
