dataset,model,fold,accuracy,precision,recall,f1,auc
06_heart_failure,FullIsingModule,2,0.5263,0.5263,0.5263,0.5263,0.4903
06_heart_failure,NeuralNet,2,0.4474,0.4500,0.4737,0.4615,0.5623
06_heart_failure,FullIsingModule,3,0.5263,0.5294,0.4737,0.5000,0.4654
06_heart_failure,NeuralNet,3,0.5789,0.6364,0.3684,0.4667,0.6288
06_heart_failure,FullIsingModule,4,0.3684,0.3684,0.3684,0.3684,0.3989
06_heart_failure,NeuralNet,4,0.5789,0.5714,0.6316,0.6000,0.7202
06_heart_failure,FullIsingModule,5,0.3947,0.3750,0.3158,0.3429,0.3878
06_heart_failure,NeuralNet,5,0.6316,0.6471,0.5789,0.6111,0.6427
07_Ionosphere,FullIsingModule,1,0.8269,0.7576,0.9615,0.8475,0.9601
07_Ionosphere,NeuralNet,1,0.9423,0.9600,0.9231,0.9412,0.9911
07_Ionosphere,FullIsingModule,2,0.9000,0.8846,0.9200,0.9020,0.9632
07_Ionosphere,NeuralNet,2,0.9800,0.9615,1.0000,0.9804,1.0000
07_Ionosphere,FullIsingModule,3,0.8200,0.8077,0.8400,0.8235,0.9184
07_Ionosphere,NeuralNet,3,0.9400,0.9231,0.9600,0.9412,0.9888
07_Ionosphere,FullIsingModule,4,0.8200,0.8333,0.8000,0.8163,0.9056
07_Ionosphere,NeuralNet,4,0.8800,0.8276,0.9600,0.8889,0.9824
07_Ionosphere,FullIsingModule,5,0.9000,0.8571,0.9600,0.9057,0.9408
07_Ionosphere,NeuralNet,5,0.8800,0.8276,0.9600,0.8889,0.9824
08_SPECTF_Heart,FullIsingModule,1,0.2727,0.3529,0.5455,0.4286,0.1983
08_SPECTF_Heart,NeuralNet,1,0.7273,0.6471,1.0000,0.7857,0.7686
08_SPECTF_Heart,FullIsingModule,2,0.4545,0.4762,0.9091,0.6250,0.2645
08_SPECTF_Heart,NeuralNet,2,0.4545,0.4444,0.3636,0.4000,0.4711
08_SPECTF_Heart,FullIsingModule,3,0.4091,0.4375,0.6364,0.5185,0.3223
08_SPECTF_Heart,NeuralNet,3,0.5909,0.5833,0.6364,0.6087,0.7355
08_SPECTF_Heart,FullIsingModule,4,0.4091,0.4444,0.7273,0.5517,0.3388
08_SPECTF_Heart,NeuralNet,4,0.7727,0.8000,0.7273,0.7619,0.8099
08_SPECTF_Heart,FullIsingModule,5,0.3182,0.3889,0.6364,0.4828,0.1570
08_SPECTF_Heart,NeuralNet,5,0.6364,0.6364,0.6364,0.6364,0.7769
