dataset,model,accuracy,precision,recall,f1,auc
1D,FullIsingModule,0.9750,0.9524,1.0000,0.9756,1.0000
2D,FullIsingModule,0.6625,0.6512,0.7000,0.6747,0.7969
3D,FullIsingModule,0.6125,0.5900,0.7375,0.6556,0.6555
4D,FullIsingModule,0.6500,0.6739,0.5813,0.6242,0.6974
5D,FullIsingModule,0.5078,0.5182,0.2219,0.3107,0.5131
6D,FullIsingModule,0.5000,0.5000,1.0000,0.6667,0.5093
