=== EXP1: Matrix FullIsing vs Network1L ===

[EXP1] Dataset: xor_1d
[EXP1][xor_1d][Full][size=x2F] epoch 140/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Full][size=x2F] epoch 150/150 | loss=0.2501 | acc=0.3750
[EXP1][xor_1d][Net1L][n=1][size=x2F] epoch 001/150 | loss=0.2635 | acc=0.5000
[EXP1][xor_1d][Net1L][n=1][size=x2F] epoch 020/150 | loss=0.2511 | acc=0.6250
[EXP1][xor_1d][Net1L][n=1][size=x2F] epoch 040/150 | loss=0.2502 | acc=0.6250
[EXP1][xor_1d][Net1L][n=1][size=x2F] epoch 060/150 | loss=0.2500 | acc=0.5000
[EXP1][xor_1d][Net1L][n=1][size=x2F] epoch 080/150 | loss=0.2499 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=x2F] epoch 100/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Net1L][n=1][size=x2F] epoch 120/150 | loss=0.2501 | acc=0.4000
[EXP1][xor_1d][Net1L][n=1][size=x2F] epoch 140/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Net1L][n=1][size=x2F] epoch 150/150 | loss=0.2504 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=x2F] epoch 001/150 | loss=0.2522 | acc=0.5000
[EXP1][xor_1d][Net1L][n=2][size=x2F] epoch 020/150 | loss=0.2507 | acc=0.6250
[EXP1][xor_1d][Net1L][n=2][size=x2F] epoch 040/150 | loss=0.2503 | acc=0.6250
[EXP1][xor_1d][Net1L][n=2][size=x2F] epoch 060/150 | loss=0.2501 | acc=0.5500
[EXP1][xor_1d][Net1L][n=2][size=x2F] epoch 080/150 | loss=0.2500 | acc=0.5000
[EXP1][xor_1d][Net1L][n=2][size=x2F] epoch 100/150 | loss=0.2502 | acc=0.4500
[EXP1][xor_1d][Net1L][n=2][size=x2F] epoch 120/150 | loss=0.2500 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=x2F] epoch 140/150 | loss=0.2500 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=x2F] epoch 150/150 | loss=0.2501 | acc=0.3750
[EXP1][xor_1d][Net1L][n=3][size=x2F] epoch 001/150 | loss=0.2675 | acc=0.5000
[EXP1][xor_1d][Net1L][n=3][size=x2F] epoch 020/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Net1L][n=3][size=x2F] epoch 040/150 | loss=0.2500 | acc=0.4250
[EXP1][xor_1d][Net1L][n=3][size=x2F] epoch 060/150 | loss=0.2499 | acc=0.4250
[EXP1][xor_1d][Net1L][n=3][size=x2F] epoch 080/150 | loss=0.2500 | acc=0.4000
[EXP1][xor_1d][Net1L][n=3][size=x2F] epoch 100/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Net1L][n=3][size=x2F] epoch 120/150 | loss=0.2499 | acc=0.3750
[EXP1][xor_1d][Net1L][n=3][size=x2F] epoch 140/150 | loss=0.2499 | acc=0.3750
[EXP1][xor_1d][Net1L][n=3][size=x2F] epoch 150/150 | loss=0.2499 | acc=0.3750
[EXP1][xor_1d][Net1L][n=5][size=x2F] epoch 001/150 | loss=0.2523 | acc=0.5750
[EXP1][xor_1d][Net1L][n=5][size=x2F] epoch 020/150 | loss=0.2509 | acc=0.6000
[EXP1][xor_1d][Net1L][n=5][size=x2F] epoch 040/150 | loss=0.2505 | acc=0.6000
[EXP1][xor_1d][Net1L][n=5][size=x2F] epoch 060/150 | loss=0.2502 | acc=0.5500
[EXP1][xor_1d][Net1L][n=5][size=x2F] epoch 080/150 | loss=0.2501 | acc=0.6250
[EXP1][xor_1d][Net1L][n=5][size=x2F] epoch 100/150 | loss=0.2501 | acc=0.5000
[EXP1][xor_1d][Net1L][n=5][size=x2F] epoch 120/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Net1L][n=5][size=x2F] epoch 140/150 | loss=0.2499 | acc=0.4000
[EXP1][xor_1d][Net1L][n=5][size=x2F] epoch 150/150 | loss=0.2499 | acc=0.4000
[EXP1][xor_1d][Net1L][n=8][size=x2F] epoch 001/150 | loss=0.2535 | acc=0.5000
[EXP1][xor_1d][Net1L][n=8][size=x2F] epoch 020/150 | loss=0.2499 | acc=0.3750
[EXP1][xor_1d][Net1L][n=8][size=x2F] epoch 040/150 | loss=0.2499 | acc=0.3750
[EXP1][xor_1d][Net1L][n=8][size=x2F] epoch 060/150 | loss=0.2499 | acc=0.4250
[EXP1][xor_1d][Net1L][n=8][size=x2F] epoch 080/150 | loss=0.2500 | acc=0.4000
[EXP1][xor_1d][Net1L][n=8][size=x2F] epoch 100/150 | loss=0.2499 | acc=0.4000
[EXP1][xor_1d][Net1L][n=8][size=x2F] epoch 120/150 | loss=0.2500 | acc=0.4000
[EXP1][xor_1d][Net1L][n=8][size=x2F] epoch 140/150 | loss=0.2502 | acc=0.3750
[EXP1][xor_1d][Net1L][n=8][size=x2F] epoch 150/150 | loss=0.2501 | acc=0.3750
[EXP1][xor_1d][Full][size=x3F] epoch 001/150 | loss=0.2566 | acc=0.5250
[EXP1][xor_1d][Full][size=x3F] epoch 020/150 | loss=0.2499 | acc=0.4500
[EXP1][xor_1d][Full][size=x3F] epoch 040/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Full][size=x3F] epoch 060/150 | loss=0.2497 | acc=0.3750
[EXP1][xor_1d][Full][size=x3F] epoch 080/150 | loss=0.2501 | acc=0.4000
[EXP1][xor_1d][Full][size=x3F] epoch 100/150 | loss=0.2499 | acc=0.4000
[EXP1][xor_1d][Full][size=x3F] epoch 120/150 | loss=0.2497 | acc=0.3750
[EXP1][xor_1d][Full][size=x3F] epoch 140/150 | loss=0.2500 | acc=0.3750
[EXP1][xor_1d][Full][size=x3F] epoch 150/150 | loss=0.2496 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=x3F] epoch 001/150 | loss=0.2555 | acc=0.5000
[EXP1][xor_1d][Net1L][n=1][size=x3F] epoch 020/150 | loss=0.2499 | acc=0.4000
[EXP1][xor_1d][Net1L][n=1][size=x3F] epoch 040/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Net1L][n=1][size=x3F] epoch 060/150 | loss=0.2497 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=x3F] epoch 080/150 | loss=0.2495 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=x3F] epoch 100/150 | loss=0.2496 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=x3F] epoch 120/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Net1L][n=1][size=x3F] epoch 140/150 | loss=0.2496 | acc=0.4000
[EXP1][xor_1d][Net1L][n=1][size=x3F] epoch 150/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=x3F] epoch 001/150 | loss=0.2536 | acc=0.5000
[EXP1][xor_1d][Net1L][n=2][size=x3F] epoch 020/150 | loss=0.2499 | acc=0.4250
[EXP1][xor_1d][Net1L][n=2][size=x3F] epoch 040/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=x3F] epoch 060/150 | loss=0.2496 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=x3F] epoch 080/150 | loss=0.2497 | acc=0.4250
[EXP1][xor_1d][Net1L][n=2][size=x3F] epoch 100/150 | loss=0.2498 | acc=0.3750
[EXP1][xor_1d][Net1L][n=2][size=x3F] epoch 120/150 | loss=0.2500 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=x3F] epoch 140/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=x3F] epoch 150/150 | loss=0.2497 | acc=0.4250
[EXP1][xor_1d][Net1L][n=3][size=x3F] epoch 001/150 | loss=0.2548 | acc=0.4750
[EXP1][xor_1d][Net1L][n=3][size=x3F] epoch 020/150 | loss=0.2519 | acc=0.5750
[EXP1][xor_1d][Net1L][n=3][size=x3F] epoch 040/150 | loss=0.2508 | acc=0.6250
[EXP1][xor_1d][Net1L][n=3][size=x3F] epoch 060/150 | loss=0.2502 | acc=0.5000
[EXP1][xor_1d][Net1L][n=3][size=x3F] epoch 080/150 | loss=0.2499 | acc=0.4500
[EXP1][xor_1d][Net1L][n=3][size=x3F] epoch 100/150 | loss=0.2497 | acc=0.4250
[EXP1][xor_1d][Net1L][n=3][size=x3F] epoch 120/150 | loss=0.2496 | acc=0.4000
[EXP1][xor_1d][Net1L][n=3][size=x3F] epoch 140/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Net1L][n=3][size=x3F] epoch 150/150 | loss=0.2496 | acc=0.4000
[EXP1][xor_1d][Net1L][n=5][size=x3F] epoch 001/150 | loss=0.2514 | acc=0.5000
[EXP1][xor_1d][Net1L][n=5][size=x3F] epoch 020/150 | loss=0.2498 | acc=0.4250
[EXP1][xor_1d][Net1L][n=5][size=x3F] epoch 040/150 | loss=0.2497 | acc=0.4250
[EXP1][xor_1d][Net1L][n=5][size=x3F] epoch 060/150 | loss=0.2497 | acc=0.4250
[EXP1][xor_1d][Net1L][n=5][size=x3F] epoch 080/150 | loss=0.2496 | acc=0.4000
[EXP1][xor_1d][Net1L][n=5][size=x3F] epoch 100/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Net1L][n=5][size=x3F] epoch 120/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Net1L][n=5][size=x3F] epoch 140/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Net1L][n=5][size=x3F] epoch 150/150 | loss=0.2498 | acc=0.4000
[EXP1][xor_1d][Net1L][n=8][size=x3F] epoch 001/150 | loss=0.2509 | acc=0.6000
[EXP1][xor_1d][Net1L][n=8][size=x3F] epoch 020/150 | loss=0.2499 | acc=0.4000
[EXP1][xor_1d][Net1L][n=8][size=x3F] epoch 040/150 | loss=0.2498 | acc=0.4000
[EXP1][xor_1d][Net1L][n=8][size=x3F] epoch 060/150 | loss=0.2498 | acc=0.4250
[EXP1][xor_1d][Net1L][n=8][size=x3F] epoch 080/150 | loss=0.2497 | acc=0.4250
[EXP1][xor_1d][Net1L][n=8][size=x3F] epoch 100/150 | loss=0.2499 | acc=0.4000
[EXP1][xor_1d][Net1L][n=8][size=x3F] epoch 120/150 | loss=0.2498 | acc=0.3750
[EXP1][xor_1d][Net1L][n=8][size=x3F] epoch 140/150 | loss=0.2497 | acc=0.4250
[EXP1][xor_1d][Net1L][n=8][size=x3F] epoch 150/150 | loss=0.2498 | acc=0.4000
[EXP1][xor_1d][Full][size=x4F] epoch 001/150 | loss=0.2620 | acc=0.5250
[EXP1][xor_1d][Full][size=x4F] epoch 020/150 | loss=0.2494 | acc=0.4000
[EXP1][xor_1d][Full][size=x4F] epoch 040/150 | loss=0.2498 | acc=0.4000
[EXP1][xor_1d][Full][size=x4F] epoch 060/150 | loss=0.2496 | acc=0.3750
[EXP1][xor_1d][Full][size=x4F] epoch 080/150 | loss=0.2493 | acc=0.4500
[EXP1][xor_1d][Full][size=x4F] epoch 100/150 | loss=0.2491 | acc=0.4250
[EXP1][xor_1d][Full][size=x4F] epoch 120/150 | loss=0.2496 | acc=0.3750
[EXP1][xor_1d][Full][size=x4F] epoch 140/150 | loss=0.2493 | acc=0.4000
[EXP1][xor_1d][Full][size=x4F] epoch 150/150 | loss=0.2492 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=x4F] epoch 001/150 | loss=0.2705 | acc=0.5000
[EXP1][xor_1d][Net1L][n=1][size=x4F] epoch 020/150 | loss=0.2493 | acc=0.4000
[EXP1][xor_1d][Net1L][n=1][size=x4F] epoch 040/150 | loss=0.2493 | acc=0.4000
[EXP1][xor_1d][Net1L][n=1][size=x4F] epoch 060/150 | loss=0.2492 | acc=0.4000
[EXP1][xor_1d][Net1L][n=1][size=x4F] epoch 080/150 | loss=0.2491 | acc=0.4500
[EXP1][xor_1d][Net1L][n=1][size=x4F] epoch 100/150 | loss=0.2493 | acc=0.4500
[EXP1][xor_1d][Net1L][n=1][size=x4F] epoch 120/150 | loss=0.2492 | acc=0.4250
[EXP1][xor_1d][Net1L][n=1][size=x4F] epoch 140/150 | loss=0.2492 | acc=0.4000
[EXP1][xor_1d][Net1L][n=1][size=x4F] epoch 150/150 | loss=0.2492 | acc=0.4250
[EXP1][xor_1d][Net1L][n=2][size=x4F] epoch 001/150 | loss=0.2540 | acc=0.6000
[EXP1][xor_1d][Net1L][n=2][size=x4F] epoch 020/150 | loss=0.2504 | acc=0.5000
[EXP1][xor_1d][Net1L][n=2][size=x4F] epoch 040/150 | loss=0.2497 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=x4F] epoch 060/150 | loss=0.2494 | acc=0.4000
[EXP1][xor_1d][Net1L][n=2][size=x4F] epoch 080/150 | loss=0.2494 | acc=0.4250
[EXP1][xor_1d][Net1L][n=2][size=x4F] epoch 100/150 | loss=0.2495 | acc=0.4500
[EXP1][xor_1d][Net1L][n=2][size=x4F] epoch 120/150 | loss=0.2492 | acc=0.4500
[EXP1][xor_1d][Net1L][n=2][size=x4F] epoch 140/150 | loss=0.2492 | acc=0.4250
[EXP1][xor_1d][Net1L][n=2][size=x4F] epoch 150/150 | loss=0.2490 | acc=0.4500
[EXP1][xor_1d][Net1L][n=3][size=x4F] epoch 001/150 | loss=0.2596 | acc=0.5000
[EXP1][xor_1d][Net1L][n=3][size=x4F] epoch 020/150 | loss=0.2493 | acc=0.4000
[EXP1][xor_1d][Net1L][n=3][size=x4F] epoch 040/150 | loss=0.2492 | acc=0.4000
[EXP1][xor_1d][Net1L][n=3][size=x4F] epoch 060/150 | loss=0.2492 | acc=0.4500
[EXP1][xor_1d][Net1L][n=3][size=x4F] epoch 080/150 | loss=0.2496 | acc=0.3750
[EXP1][xor_1d][Net1L][n=3][size=x4F] epoch 100/150 | loss=0.2492 | acc=0.4500
[EXP1][xor_1d][Net1L][n=3][size=x4F] epoch 120/150 | loss=0.2496 | acc=0.3750
[EXP1][xor_1d][Net1L][n=3][size=x4F] epoch 140/150 | loss=0.2490 | acc=0.4500
[EXP1][xor_1d][Net1L][n=3][size=x4F] epoch 150/150 | loss=0.2491 | acc=0.3750
[EXP1][xor_1d][Net1L][n=5][size=x4F] epoch 001/150 | loss=0.2523 | acc=0.5000
[EXP1][xor_1d][Net1L][n=5][size=x4F] epoch 020/150 | loss=0.2496 | acc=0.4500
[EXP1][xor_1d][Net1L][n=5][size=x4F] epoch 040/150 | loss=0.2496 | acc=0.4000
[EXP1][xor_1d][Net1L][n=5][size=x4F] epoch 060/150 | loss=0.2494 | acc=0.4000
