dataset,model,fold,accuracy,precision,recall,f1,auc
06_heart_failure,FullIsingModule,2,0.4359,0.4400,0.5789,0.5000,0.4868
06_heart_failure,ModularNetwork,2,0.7179,0.7222,0.6842,0.7027,0.7737
06_heart_failure,FullIsingModule,3,0.4474,0.4000,0.2105,0.2759,0.4626
06_heart_failure,ModularNetwork,3,0.5263,0.5294,0.4737,0.5000,0.6177
06_heart_failure,FullIsingModule,4,0.5000,0.5000,0.5263,0.5128,0.4515
06_heart_failure,ModularNetwork,4,0.7105,0.7857,0.5789,0.6667,0.7147
06_heart_failure,FullIsingModule,5,0.4474,0.4583,0.5789,0.5116,0.3601
06_heart_failure,ModularNetwork,5,0.6579,0.6500,0.6842,0.6667,0.6981
07_Ionosphere,FullIsingModule,1,0.6667,0.6538,0.6800,0.6667,0.6092
07_Ionosphere,ModularNetwork,1,0.8824,0.8800,0.8800,0.8800,0.9769
07_Ionosphere,FullIsingModule,2,0.5294,0.6000,0.2308,0.3333,0.5969
07_Ionosphere,ModularNetwork,2,0.9608,1.0000,0.9231,0.9600,0.9877
07_Ionosphere,FullIsingModule,3,0.6200,0.6364,0.5600,0.5957,0.6544
07_Ionosphere,ModularNetwork,3,0.9400,0.9583,0.9200,0.9388,0.9904
07_Ionosphere,FullIsingModule,4,0.6000,0.6190,0.5200,0.5652,0.5664
07_Ionosphere,ModularNetwork,4,0.8200,0.9000,0.7200,0.8000,0.9392
07_Ionosphere,FullIsingModule,5,0.6000,0.6087,0.5600,0.5833,0.5984
07_Ionosphere,ModularNetwork,5,0.9200,0.9200,0.9200,0.9200,0.9552
08_SPECTF_Heart,FullIsingModule,1,0.5000,0.5000,0.7500,0.6000,0.2188
08_SPECTF_Heart,ModularNetwork,1,0.7500,0.7000,0.8750,0.7778,0.8438
08_SPECTF_Heart,FullIsingModule,2,0.3125,0.3333,0.3750,0.3529,0.2344
08_SPECTF_Heart,ModularNetwork,2,0.6250,0.5833,0.8750,0.7000,0.7812
08_SPECTF_Heart,FullIsingModule,3,0.3750,0.4167,0.6250,0.5000,0.2031
08_SPECTF_Heart,ModularNetwork,3,0.6875,0.6667,0.7500,0.7059,0.7812
08_SPECTF_Heart,FullIsingModule,4,0.3750,0.4286,0.7500,0.5455,0.1875
08_SPECTF_Heart,ModularNetwork,4,0.7500,0.8333,0.6250,0.7143,0.7656
08_SPECTF_Heart,FullIsingModule,5,0.4375,0.4286,0.3750,0.4000,0.2188
08_SPECTF_Heart,ModularNetwork,5,0.6250,0.6250,0.6250,0.6250,0.5469
