=== EXP2: Offset Sweep ===

[EXP2] Dataset: xor_1d
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 080/200 | loss=0.3237 | acc=0.9000
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 100/200 | loss=0.2637 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 120/200 | loss=0.2204 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 140/200 | loss=0.1909 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 160/200 | loss=0.1705 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 180/200 | loss=0.1542 | acc=0.9250
[EXP2][xor_1d][FullIsing_large_pos][fold=1] epoch 200/200 | loss=0.1413 | acc=0.9250
[EXP2][xor_1d][Net1L_default][fold=1] epoch 001/200 | loss=3.5992 | acc=0.5000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 020/200 | loss=0.4801 | acc=0.8000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 040/200 | loss=0.1615 | acc=0.9500
[EXP2][xor_1d][Net1L_default][fold=1] epoch 060/200 | loss=0.0821 | acc=1.0000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 080/200 | loss=0.0542 | acc=1.0000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 100/200 | loss=0.0458 | acc=1.0000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 120/200 | loss=0.0360 | acc=1.0000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 140/200 | loss=0.0437 | acc=0.9500
[EXP2][xor_1d][Net1L_default][fold=1] epoch 160/200 | loss=0.0319 | acc=1.0000
[EXP2][xor_1d][Net1L_default][fold=1] epoch 180/200 | loss=0.0305 | acc=0.9500
[EXP2][xor_1d][Net1L_default][fold=1] epoch 200/200 | loss=0.0263 | acc=1.0000
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 001/200 | loss=1.5861 | acc=0.5000
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 020/200 | loss=0.2343 | acc=0.9500
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 040/200 | loss=0.0580 | acc=0.9750
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 060/200 | loss=0.0315 | acc=1.0000
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 080/200 | loss=0.0259 | acc=1.0000
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 100/200 | loss=0.0215 | acc=1.0000
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 120/200 | loss=0.0191 | acc=1.0000
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 140/200 | loss=0.0206 | acc=1.0000
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 160/200 | loss=0.0151 | acc=1.0000
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 180/200 | loss=0.0192 | acc=1.0000
[EXP2][xor_1d][Net1L_1_over_N][fold=1] epoch 200/200 | loss=0.0170 | acc=1.0000
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 001/200 | loss=2.3650 | acc=0.5000
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 020/200 | loss=0.6927 | acc=0.4250
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 040/200 | loss=0.6928 | acc=0.4750
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 060/200 | loss=0.6947 | acc=0.4500
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 080/200 | loss=0.6925 | acc=0.4500
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 100/200 | loss=0.6931 | acc=0.4000
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 120/200 | loss=0.6944 | acc=0.4000
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 140/200 | loss=0.6916 | acc=0.4750
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 160/200 | loss=0.6929 | acc=0.3750
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 180/200 | loss=0.6936 | acc=0.5500
[EXP2][xor_1d][Net1L_zero][fold=1] epoch 200/200 | loss=0.6923 | acc=0.5250
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 001/200 | loss=2.4273 | acc=0.5000
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 020/200 | loss=0.6902 | acc=0.5500
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 040/200 | loss=0.6884 | acc=0.4750
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 060/200 | loss=0.6884 | acc=0.4250
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 080/200 | loss=0.6826 | acc=0.3750
[EXP2][xor_1d][Net1L_small_neg][fold=1] epoch 100/200 | loss=0.6811 | acc=0.4750
