dataset,model,strategy,accuracy,precision,recall,f1,auc,training_time_s,convergence_epoch_90pct,error
xor_2d,FullIsing,zeros,0.6625,0.6511627906976745,0.7,0.6746987951807228,0.7943749999999999,205.0050722999731,13.0,
xor_2d,Net1L,zeros,0.975,0.9523809523809523,1.0,0.975609756097561,1.0,1064.4213142999797,45.0,
xor_2d,FullIsing,small_randn,0.6625,0.6511627906976745,0.7,0.6746987951807228,0.79375,203.7361946000019,13.0,
xor_2d,Net1L,small_randn,1.0,1.0,1.0,1.0,1.0,1059.5345629999647,49.0,
xor_2d,FullIsing,medium_randn,0.6625,0.6511627906976745,0.7,0.6746987951807228,0.8,195.43956379999872,24.0,
xor_2d,Net1L,medium_randn,0.9375,0.926829268292683,0.95,0.9382716049382716,0.99,1017.7415155000053,6.0,
xor_2d,FullIsing,large_randn,0.5,0.5,1.0,0.6666666666666666,0.67375,168.24924069998087,1.0,
xor_2d,Net1L,large_randn,0.6375,0.5964912280701754,0.85,0.7010309278350515,0.7456249999999999,838.4021236000117,9.0,
xor_2d,FullIsing,theta_ratio,0.5,0.5,1.0,0.6666666666666666,0.5,114.58134149998659,1.0,
xor_2d,Net1L,theta_ratio,0.5,0.5,1.0,0.6666666666666666,0.5,569.7469258999918,1.0,
