dataset,model,fold,accuracy,precision,recall,f1,auc
06_heart_failure,FullIsingModule,2,0.6833,0.0000,0.0000,0.0000,0.5687
06_heart_failure,ModularNetwork,2,0.7500,0.6000,0.6316,0.6154,0.8126
06_heart_failure,FullIsingModule,3,0.6833,0.0000,0.0000,0.0000,0.4108
06_heart_failure,ModularNetwork,3,0.6833,0.5000,0.4737,0.4865,0.6560
06_heart_failure,FullIsingModule,4,0.6500,0.3333,0.0500,0.0870,0.2600
06_heart_failure,ModularNetwork,4,0.6167,0.4000,0.3000,0.3429,0.4962
06_heart_failure,FullIsingModule,5,0.6949,1.0000,0.0526,0.1000,0.3329
06_heart_failure,ModularNetwork,5,0.6102,0.4091,0.4737,0.4390,0.6645
07_Ionosphere,FullIsingModule,1,0.9155,0.8980,0.9778,0.9362,0.9778
07_Ionosphere,ModularNetwork,1,0.9437,0.9362,0.9778,0.9565,0.9906
07_Ionosphere,FullIsingModule,2,0.8714,0.8600,0.9556,0.9053,0.9458
07_Ionosphere,ModularNetwork,2,0.9286,0.9167,0.9778,0.9462,0.9778
07_Ionosphere,FullIsingModule,3,0.9143,0.9149,0.9556,0.9348,0.9689
07_Ionosphere,ModularNetwork,3,0.9571,0.9375,1.0000,0.9677,0.9973
07_Ionosphere,FullIsingModule,4,0.9429,0.9556,0.9556,0.9556,0.9858
07_Ionosphere,ModularNetwork,4,0.9429,0.9362,0.9778,0.9565,0.9840
07_Ionosphere,FullIsingModule,5,0.8571,0.8431,0.9556,0.8958,0.9164
07_Ionosphere,ModularNetwork,5,0.9000,0.9130,0.9333,0.9231,0.9591
08_SPECTF_Heart,FullIsingModule,1,0.7963,0.7963,1.0000,0.8866,0.7315
08_SPECTF_Heart,ModularNetwork,1,0.7963,0.8333,0.9302,0.8791,0.8118
08_SPECTF_Heart,FullIsingModule,2,0.7963,0.7963,1.0000,0.8866,0.7040
08_SPECTF_Heart,ModularNetwork,2,0.7593,0.8261,0.8837,0.8539,0.7484
08_SPECTF_Heart,FullIsingModule,3,0.7925,0.7925,1.0000,0.8842,0.7468
08_SPECTF_Heart,ModularNetwork,3,0.8302,0.8837,0.9048,0.8941,0.8052
08_SPECTF_Heart,FullIsingModule,4,0.7925,0.7925,1.0000,0.8842,0.6732
08_SPECTF_Heart,ModularNetwork,4,0.8491,0.8864,0.9286,0.9070,0.8398
08_SPECTF_Heart,FullIsingModule,5,0.7925,0.7925,1.0000,0.8842,0.7186
08_SPECTF_Heart,ModularNetwork,5,0.8113,0.8478,0.9286,0.8864,0.8247
