dataset,model,fold,accuracy,precision,recall,f1,auc
06_heart_failure,FullIsingModule,2,0.6053,0.5833,0.7368,0.6512,0.6427
06_heart_failure,NeuralNet,2,0.5263,0.5238,0.5789,0.5500,0.5596
06_heart_failure,FullIsingModule,3,0.7632,0.7778,0.7368,0.7568,0.7618
06_heart_failure,NeuralNet,3,0.6316,0.6316,0.6316,0.6316,0.6731
06_heart_failure,FullIsingModule,4,0.4737,0.4737,0.4737,0.4737,0.4903
06_heart_failure,NeuralNet,4,0.5000,0.5000,0.5263,0.5128,0.5679
06_heart_failure,FullIsingModule,5,0.6579,0.6667,0.6316,0.6486,0.7230
06_heart_failure,NeuralNet,5,0.6316,0.6667,0.5263,0.5882,0.6482
07_Ionosphere,FullIsingModule,1,0.9608,0.9600,0.9600,0.9600,0.9969
07_Ionosphere,NeuralNet,1,0.9412,0.9231,0.9600,0.9412,0.9954
07_Ionosphere,FullIsingModule,2,0.8800,0.8800,0.8800,0.8800,0.9760
07_Ionosphere,NeuralNet,2,0.9800,0.9615,1.0000,0.9804,0.9968
07_Ionosphere,FullIsingModule,3,0.8800,0.8800,0.8800,0.8800,0.9584
07_Ionosphere,NeuralNet,3,0.9600,0.9600,0.9600,0.9600,0.9840
07_Ionosphere,FullIsingModule,4,0.9600,1.0000,0.9200,0.9583,1.0000
07_Ionosphere,NeuralNet,4,0.9400,1.0000,0.8800,0.9362,0.9920
07_Ionosphere,FullIsingModule,5,0.8000,0.8947,0.6800,0.7727,0.8704
07_Ionosphere,NeuralNet,5,0.8600,0.9500,0.7600,0.8444,0.8960
08_SPECTF_Heart,FullIsingModule,1,0.8125,0.7273,1.0000,0.8421,0.8438
08_SPECTF_Heart,NeuralNet,1,0.6875,0.6667,0.7500,0.7059,0.8594
08_SPECTF_Heart,FullIsingModule,2,0.6250,0.5833,0.8750,0.7000,0.7500
08_SPECTF_Heart,NeuralNet,2,0.5625,0.5455,0.7500,0.6316,0.6562
08_SPECTF_Heart,FullIsingModule,3,0.7500,0.7000,0.8750,0.7778,0.8906
08_SPECTF_Heart,NeuralNet,3,0.6875,0.8000,0.5000,0.6154,0.9062
08_SPECTF_Heart,FullIsingModule,4,0.8125,0.7778,0.8750,0.8235,0.7656
08_SPECTF_Heart,NeuralNet,4,0.6875,0.6667,0.7500,0.7059,0.7188
08_SPECTF_Heart,FullIsingModule,5,0.6000,0.5385,1.0000,0.7000,0.8214
08_SPECTF_Heart,NeuralNet,5,0.6667,0.6250,0.7143,0.6667,0.6429
