dataset,model,fold,accuracy,precision,recall,f1,auc
06_heart_failure,FullIsingModule,2,0.4615,0.4583,0.5789,0.5116,0.4579
06_heart_failure,ModularNetwork,2,0.6667,0.6667,0.6316,0.6486,0.7632
06_heart_failure,FullIsingModule,3,0.4211,0.3846,0.2632,0.3125,0.4294
06_heart_failure,ModularNetwork,3,0.5789,0.5789,0.5789,0.5789,0.6011
06_heart_failure,FullIsingModule,4,0.5263,0.5263,0.5263,0.5263,0.4460
06_heart_failure,ModularNetwork,4,0.7368,0.8000,0.6316,0.7059,0.7645
06_heart_failure,FullIsingModule,5,0.4211,0.4286,0.4737,0.4500,0.3657
06_heart_failure,ModularNetwork,5,0.6842,0.6667,0.7368,0.7000,0.7784
07_Ionosphere,FullIsingModule,1,0.5882,0.6111,0.4400,0.5116,0.6185
07_Ionosphere,ModularNetwork,1,0.9804,0.9615,1.0000,0.9804,0.9969
07_Ionosphere,FullIsingModule,2,0.5098,0.5152,0.6538,0.5763,0.5215
07_Ionosphere,ModularNetwork,2,0.9804,1.0000,0.9615,0.9804,0.9908
07_Ionosphere,FullIsingModule,3,0.6000,0.5758,0.7600,0.6552,0.6784
07_Ionosphere,ModularNetwork,3,0.9400,0.9583,0.9200,0.9388,0.9856
07_Ionosphere,FullIsingModule,4,0.6000,0.6471,0.4400,0.5238,0.6512
07_Ionosphere,ModularNetwork,4,0.8400,0.9048,0.7600,0.8261,0.9664
07_Ionosphere,FullIsingModule,5,0.6000,0.6667,0.4000,0.5000,0.6512
07_Ionosphere,ModularNetwork,5,0.9200,0.9565,0.8800,0.9167,0.9648
08_SPECTF_Heart,FullIsingModule,1,0.5000,0.5000,0.7500,0.6000,0.2188
08_SPECTF_Heart,ModularNetwork,1,0.6875,0.6364,0.8750,0.7368,0.9219
08_SPECTF_Heart,FullIsingModule,2,0.3750,0.3750,0.3750,0.3750,0.2188
08_SPECTF_Heart,ModularNetwork,2,0.6875,0.6154,1.0000,0.7619,0.7812
08_SPECTF_Heart,FullIsingModule,3,0.3750,0.4167,0.6250,0.5000,0.1875
08_SPECTF_Heart,ModularNetwork,3,0.5000,0.5000,0.3750,0.4286,0.5000
08_SPECTF_Heart,FullIsingModule,4,0.3750,0.4286,0.7500,0.5455,0.2031
08_SPECTF_Heart,ModularNetwork,4,0.6250,0.6667,0.5000,0.5714,0.7344
08_SPECTF_Heart,FullIsingModule,5,0.3125,0.3333,0.3750,0.3529,0.1875
08_SPECTF_Heart,ModularNetwork,5,0.6250,0.6000,0.7500,0.6667,0.7188
