xor_dim,num_nodi,node_size,node_size_label,accuracy,f1,auc_roc,best_val_acc,final_loss,min_loss,loss_stability,convergence_epoch,training_time_s,n_params,error
1,3,20,20,0.5,0.6666666666666666,1.0,0.5,0.7025009989738464,0.7025009989738464,0.004225701093673706,,1.210240088053979,1210,
1,3,30,30,0.5,0.6666666666666666,1.0,0.5,0.5756247639656067,0.5756247639656067,0.00745004415512085,,1.6308023110032082,2710,
1,3,40,40,0.5,0.6666666666666666,1.0,0.5,1.84880793094635,1.84880793094635,0.02464693784713745,,1.9889402670087293,4810,
1,3,50,50,0.5,0.0,0.0,0.5,4.873769283294678,4.873769283294678,0.11079955101013184,,2.536046696943231,7510,
1,5,1,x1F,0.5,0.6666666666666666,0.59,0.5,0.7157845497131348,0.7157845497131348,0.00024139881134033203,,1.4114590110257268,21,
1,5,2,x2F,0.5,0.6666666666666666,0.36750000000000005,0.5,0.7008528113365173,0.7008528113365173,0.00011026859283447266,,1.4290496640605852,36,
1,5,3,x3F,0.5,0.6666666666666666,0.6599999999999999,0.5,0.7105397582054138,0.7105397582054138,0.00014504790306091309,,1.4506726280087605,61,
1,5,4,x4F,0.5,0.0,0.2875,0.5,0.6996791958808899,0.6996791958808899,0.0001850128173828125,,1.5576624210225418,96,
1,5,10,10,0.5,0.0,0.1,0.5,1.0812724828720093,1.0812724828720093,0.004711508750915527,,1.6180036519654095,516,
1,5,20,20,0.5,0.6666666666666666,1.0,0.5,0.8554351925849915,0.8554351925849915,0.008128732442855835,,1.9809569130884483,2016,
1,5,30,30,0.5,0.0,0.0,0.5,4.933284282684326,4.933284282684326,0.051596879959106445,,2.5446934680221602,4516,
1,5,40,40,0.5,0.6666666666666666,1.0,0.5,1.0749976634979248,1.0749976634979248,0.03414297103881836,,3.3251278230454773,8016,
1,5,50,50,0.5,0.0,0.0,0.5,8.574079513549805,8.574079513549805,0.09054803848266602,,4.2213237000396475,12516,
1,8,1,x1F,0.5,0.0,0.41750000000000004,0.5,0.7057709693908691,0.7057709693908691,0.00018641352653503418,,2.2818737119669095,33,
1,8,2,x2F,0.5,0.6666666666666666,0.625,0.5,0.709981381893158,0.709981381893158,0.00037163496017456055,,2.299422746989876,57,
