num_nodi,x1F,x2F,x3F,x4F,10,20,30,40,50
2,0.41750000000000004,0.37,0.33000000000000007,0.2875,0.1,0.0,1.0,1.0,1.0
3,0.58,0.6224999999999999,0.6675,0.275,0.8999999999999999,1.0,1.0,1.0,0.0
5,0.59,0.36750000000000005,0.6599999999999999,0.2875,0.1,1.0,0.0,1.0,0.0
8,0.41750000000000004,0.625,0.66,0.7225,0.1,1.0,0.0,0.0,1.0
10,0.41750000000000004,0.63,0.33000000000000007,0.3025,0.8999999999999999,1.0,0.0,0.0,1.0
15,0.41500000000000004,0.36750000000000005,0.6675,0.72,0.8999999999999999,1.0,1.0,1.0,0.0
