dataset,model,accuracy,precision,recall,f1,auc
1D,FullIsingModule,0.9250,0.9048,0.9500,0.9268,0.9925
2D,FullIsingModule,0.8375,0.8293,0.8500,0.8395,0.9212
3D,FullIsingModule,0.5000,0.5000,0.3500,0.4118,0.5814
4D,FullIsingModule,0.6531,0.6467,0.6750,0.6606,0.6783
5D,FullIsingModule,0.5062,0.5037,0.8406,0.6300,0.5344
6D,FullIsingModule,0.5023,0.5254,0.0484,0.0887,0.5807
