dataset,model,fold,accuracy,precision,recall,f1,auc
06_heart_failure,FullIsingModule,2,0.6833,0.0000,0.0000,0.0000,0.5623
06_heart_failure,ModularNetwork,2,0.7333,0.6000,0.4737,0.5294,0.7856
06_heart_failure,FullIsingModule,3,0.6833,0.0000,0.0000,0.0000,0.4442
06_heart_failure,ModularNetwork,3,0.6500,0.4500,0.4737,0.4615,0.6598
06_heart_failure,FullIsingModule,4,0.6833,1.0000,0.0500,0.0952,0.2512
06_heart_failure,ModularNetwork,4,0.6500,0.4667,0.3500,0.4000,0.5312
06_heart_failure,FullIsingModule,5,0.6780,0.5000,0.0526,0.0952,0.3368
06_heart_failure,ModularNetwork,5,0.6102,0.4000,0.4211,0.4103,0.6776
07_Ionosphere,FullIsingModule,1,0.9155,0.8980,0.9778,0.9362,0.9761
07_Ionosphere,ModularNetwork,1,0.9718,0.9778,0.9778,0.9778,0.9991
07_Ionosphere,FullIsingModule,2,0.8714,0.8600,0.9556,0.9053,0.9431
07_Ionosphere,ModularNetwork,2,0.9286,0.9000,1.0000,0.9474,0.9707
07_Ionosphere,FullIsingModule,3,0.9000,0.8958,0.9556,0.9247,0.9707
07_Ionosphere,ModularNetwork,3,0.9571,0.9565,0.9778,0.9670,0.9973
07_Ionosphere,FullIsingModule,4,0.9429,0.9556,0.9556,0.9556,0.9858
07_Ionosphere,ModularNetwork,4,0.9571,0.9773,0.9556,0.9663,0.9840
07_Ionosphere,FullIsingModule,5,0.8429,0.8269,0.9556,0.8866,0.9129
07_Ionosphere,ModularNetwork,5,0.9000,0.8958,0.9556,0.9247,0.9707
08_SPECTF_Heart,FullIsingModule,1,0.7963,0.7963,1.0000,0.8866,0.7273
08_SPECTF_Heart,ModularNetwork,1,0.7593,0.8125,0.9070,0.8571,0.7928
08_SPECTF_Heart,FullIsingModule,2,0.7963,0.7963,1.0000,0.8866,0.6977
08_SPECTF_Heart,ModularNetwork,2,0.7593,0.8125,0.9070,0.8571,0.7611
08_SPECTF_Heart,FullIsingModule,3,0.7925,0.7925,1.0000,0.8842,0.7359
08_SPECTF_Heart,ModularNetwork,3,0.8302,0.8511,0.9524,0.8989,0.8636
08_SPECTF_Heart,FullIsingModule,4,0.7925,0.7925,1.0000,0.8842,0.6753
08_SPECTF_Heart,ModularNetwork,4,0.8302,0.8667,0.9286,0.8966,0.8398
08_SPECTF_Heart,FullIsingModule,5,0.7925,0.7925,1.0000,0.8842,0.7229
08_SPECTF_Heart,ModularNetwork,5,0.8113,0.8478,0.9286,0.8864,0.8095
