dataset,model,fold,accuracy,precision,recall,f1,auc
06_heart_failure,FullIsingModule,2,0.4359,0.4400,0.5789,0.5000,0.4947
06_heart_failure,ModularNetwork,2,0.6923,0.6842,0.6842,0.6842,0.7553
06_heart_failure,FullIsingModule,3,0.4474,0.4000,0.2105,0.2759,0.4626
06_heart_failure,ModularNetwork,3,0.5263,0.5294,0.4737,0.5000,0.6177
06_heart_failure,FullIsingModule,4,0.5000,0.5000,0.4737,0.4865,0.4654
06_heart_failure,ModularNetwork,4,0.7632,0.8125,0.6842,0.7429,0.7452
06_heart_failure,FullIsingModule,5,0.4737,0.4737,0.4737,0.4737,0.3573
06_heart_failure,ModularNetwork,5,0.6316,0.6190,0.6842,0.6500,0.6953
07_Ionosphere,FullIsingModule,1,0.6471,0.6400,0.6400,0.6400,0.6708
07_Ionosphere,ModularNetwork,1,0.8824,0.9130,0.8400,0.8750,0.9708
07_Ionosphere,FullIsingModule,2,0.5686,0.6667,0.3077,0.4211,0.6323
07_Ionosphere,ModularNetwork,2,0.9608,1.0000,0.9231,0.9600,0.9862
07_Ionosphere,FullIsingModule,3,0.6400,0.6400,0.6400,0.6400,0.6160
07_Ionosphere,ModularNetwork,3,0.9600,0.9600,0.9600,0.9600,0.9856
07_Ionosphere,FullIsingModule,4,0.6400,0.7059,0.4800,0.5714,0.6512
07_Ionosphere,ModularNetwork,4,0.8200,0.9000,0.7200,0.8000,0.9344
07_Ionosphere,FullIsingModule,5,0.5800,0.6000,0.4800,0.5333,0.6992
07_Ionosphere,ModularNetwork,5,0.9200,0.9565,0.8800,0.9167,0.9584
08_SPECTF_Heart,FullIsingModule,1,0.4375,0.4545,0.6250,0.5263,0.2188
08_SPECTF_Heart,ModularNetwork,1,0.6875,0.6364,0.8750,0.7368,0.9219
08_SPECTF_Heart,FullIsingModule,2,0.3125,0.3333,0.3750,0.3529,0.2031
08_SPECTF_Heart,ModularNetwork,2,0.6250,0.5833,0.8750,0.7000,0.7656
08_SPECTF_Heart,FullIsingModule,3,0.3750,0.4167,0.6250,0.5000,0.2031
08_SPECTF_Heart,ModularNetwork,3,0.6875,0.6667,0.7500,0.7059,0.7656
08_SPECTF_Heart,FullIsingModule,4,0.3750,0.4286,0.7500,0.5455,0.1875
08_SPECTF_Heart,ModularNetwork,4,0.6875,0.7143,0.6250,0.6667,0.7500
08_SPECTF_Heart,FullIsingModule,5,0.4375,0.4286,0.3750,0.4000,0.2188
08_SPECTF_Heart,ModularNetwork,5,0.5625,0.5556,0.6250,0.5882,0.5625
